Day,Month,Year,Flowrate
13,9,1960,80.37
14,9,1960,279
15,9,1960,235.7
16,9,1960,171.2
17,9,1960,150.3
18,9,1960,141.2
19,9,1960,141.8
20,9,1960,132.7
21,9,1960,118
22,9,1960,114.1
23,9,1960,100.7
24,9,1960,73.02
25,9,1960,70.19
26,9,1960,78.68
27,9,1960,84.62
28,9,1960,78.11
29,9,1960,88.86
30,9,1960,90.28
1,10,1960,91.41
2,10,1960,194.4
3,10,1960,413.2
4,10,1960,283
5,10,1960,220.2
6,10,1960,191.9
7,10,1960,171.2
8,10,1960,155.7
9,10,1960,128.5
10,10,1960,144.6
11,10,1960,138.4
12,10,1960,116.6
13,10,1960,117.4
14,10,1960,103.6
15,10,1960,73.02
16,10,1960,70.19
17,10,1960,97.92
18,10,1960,99.33
19,10,1960,110.9
20,10,1960,148.9
21,10,1960,181.1
22,10,1960,166.1
23,10,1960,317
24,10,1960,435.8
25,10,1960,278.5
26,10,1960,311.3
27,10,1960,267.7
28,10,1960,279
29,10,1960,238.6
30,10,1960,242
31,10,1960,248.5
1,11,1960,362.2
2,11,1960,348.1
3,11,1960,288.7
4,11,1960,268.9
5,11,1960,192.4
6,11,1960,172.1
7,11,1960,188.5
8,11,1960,179.4
9,11,1960,175.5
10,11,1960,291.5
11,11,1960,393.4
12,11,1960,300
13,11,1960,272
14,11,1960,328.3
15,11,1960,322.6
16,11,1960,274.8
17,11,1960,247.1
18,11,1960,228.9
19,11,1960,183.7
20,11,1960,167.5
21,11,1960,238
22,11,1960,209.1
23,11,1960,197.8
24,11,1960,203.5
25,11,1960,196.1
26,11,1960,154.2
27,11,1960,141.2
28,11,1960,158.8
29,11,1960,168.4
30,11,1960,261.8
1,12,1960,331.1
2,12,1960,265.2
3,12,1960,342.4
4,12,1960,362.2
5,12,1960,311.3
6,12,1960,268.9
7,12,1960,243.1
8,12,1960,226.7
9,12,1960,215.1
10,12,1960,189.9
11,12,1960,165.3
12,12,1960,172.6
13,12,1960,143.8
14,12,1960,165.3
15,12,1960,165.3
16,12,1960,165.3
17,12,1960,202.9
18,12,1960,184.5
19,12,1960,185.1
20,12,1960,179.4
21,12,1960,167.3
22,12,1960,158.2
23,12,1960,168.4
24,12,1960,117.4
25,12,1960,165.3
26,12,1960,393.4
27,12,1960,281.6
28,12,1960,224.4
29,12,1960,222.7
30,12,1960,224.4
31,12,1960,195.3
1,1,1961,193.3
2,1,1961,207.2
3,1,1961,183.7
4,1,1961,216.5
5,1,1961,187.6
6,1,1961,184.5
7,1,1961,156.8
8,1,1961,145.5
9,1,1961,163.6
10,1,1961,155.1
11,1,1961,159.9
12,1,1961,237.4
13,1,1961,271.4
14,1,1961,197.3
15,1,1961,168.1
16,1,1961,186.5
17,1,1961,182.8
18,1,1961,165
19,1,1961,241.4
20,1,1961,197.3
21,1,1961,172.9
22,1,1961,156.5
23,1,1961,162.2
24,1,1961,155.9
25,1,1961,153.7
26,1,1961,152.8
27,1,1961,608.5
28,1,1961,342.4
29,1,1961,317
30,1,1961,319.8
31,1,1961,277.9
1,2,1961,268.3
2,2,1961,247.1
3,2,1961,308.5
4,2,1961,248.5
5,2,1961,184.2
6,2,1961,294.3
7,2,1961,239.1
8,2,1961,353.8
9,2,1961,512.2
10,2,1961,563.2
11,2,1961,461.3
12,2,1961,495.3
13,2,1961,580.2
14,2,1961,656.6
15,2,1961,455.6
16,2,1961,384.9
17,2,1961,314.1
18,2,1961,305.6
19,2,1961,258.1
20,2,1961,259.2
21,2,1961,235.7
22,2,1961,216.5
23,2,1961,204.6
24,2,1961,205.2
25,2,1961,192.4
26,2,1961,276.8
27,2,1961,322.6
28,2,1961,331.1
1,3,1961,283
2,3,1961,342.4
3,3,1961,279.6
4,3,1961,285.8
5,3,1961,258.1
6,3,1961,245.4
7,3,1961,219
8,3,1961,213.9
9,3,1961,202.1
10,3,1961,200.4
11,3,1961,169
12,3,1961,258.7
13,3,1961,242.5
14,3,1961,235.7
15,3,1961,238.6
16,3,1961,220.2
17,3,1961,200.9
18,3,1961,177.7
19,3,1961,167.5
20,3,1961,178.3
21,3,1961,162.2
22,3,1961,157.3
23,3,1961,152
24,3,1961,154.2
25,3,1961,122.5
26,3,1961,111.5
27,3,1961,142.9
28,3,1961,124.5
29,3,1961,129.6
30,3,1961,155.7
31,3,1961,162.7
1,4,1961,151.1
2,4,1961,141.8
3,4,1961,138.4
4,4,1961,135
5,4,1961,165.8
6,4,1961,187.9
7,4,1961,167.5
8,4,1961,147.2
9,4,1961,162.2
10,4,1961,172.9
11,4,1961,170.7
12,4,1961,202.1
13,4,1961,253.3
14,4,1961,195.8
15,4,1961,146.9
16,4,1961,127.4
17,4,1961,135
18,4,1961,131.9
19,4,1961,131.9
20,4,1961,162.2
21,4,1961,215.1
22,4,1961,214.5
23,4,1961,294.3
24,4,1961,251
25,4,1961,213.9
26,4,1961,212
27,4,1961,218.2
28,4,1961,212
29,4,1961,158.8
30,4,1961,141.8
1,5,1961,164.1
2,5,1961,226.7
3,5,1961,187.9
4,5,1961,314.1
5,5,1961,245.4
6,5,1961,191.3
7,5,1961,241.4
8,5,1961,379.2
9,5,1961,311.3
10,5,1961,270.5
11,5,1961,225.6
12,5,1961,201.5
13,5,1961,172.1
14,5,1961,161.9
15,5,1961,157.3
16,5,1961,151.1
17,5,1961,146.9
18,5,1961,139
19,5,1961,133.3
20,5,1961,92.83
21,5,1961,85.18
22,5,1961,110.9
23,5,1961,101.6
24,5,1961,108.1
25,5,1961,104.4
26,5,1961,95.09
27,5,1961,62.26
28,5,1961,57.17
29,5,1961,54.05
30,5,1961,59.71
31,5,1961,61.98
1,6,1961,62.26
2,6,1961,63.68
3,6,1961,63.39
4,6,1961,64.81
5,6,1961,76.13
6,6,1961,83.77
7,6,1961,90.28
8,6,1961,92.83
9,6,1961,90.28
10,6,1961,64.81
11,6,1961,63.96
12,6,1961,79.24
13,6,1961,75.28
14,6,1961,75
15,6,1961,80.09
16,6,1961,76.69
17,6,1961,57.45
18,6,1961,57.45
19,6,1961,62.83
20,6,1961,60.28
21,6,1961,61.13
22,6,1961,60.56
23,6,1961,58.58
24,6,1961,57.45
25,6,1961,60.56
26,6,1961,65.09
27,6,1961,61.41
28,6,1961,62.83
29,6,1961,58.58
30,6,1961,55.19
1,7,1961,52.92
2,7,1961,49.53
3,7,1961,51.22
4,7,1961,56.88
5,7,1961,65.66
6,7,1961,63.96
7,7,1961,57.17
8,7,1961,50.37
9,7,1961,48.11
10,7,1961,55.75
11,7,1961,49.53
12,7,1961,64.52
13,7,1961,224.4
14,7,1961,167.3
15,7,1961,157.3
16,7,1961,159
17,7,1961,139.5
18,7,1961,122
19,7,1961,84.05
20,7,1961,71.6
21,7,1961,70.75
22,7,1961,64.81
23,7,1961,60.28
24,7,1961,55.75
25,7,1961,55.75
26,7,1961,56.6
27,7,1961,62.26
28,7,1961,59.71
29,7,1961,55.75
30,7,1961,58.3
31,7,1961,63.39
1,8,1961,60.85
2,8,1961,62.26
3,8,1961,54.9
4,8,1961,76.13
5,8,1961,64.52
6,8,1961,64.81
7,8,1961,70.47
8,8,1961,148
9,8,1961,404.7
10,8,1961,297.2
11,8,1961,238
12,8,1961,168.1
13,8,1961,156.8
14,8,1961,131.9
15,8,1961,121.7
16,8,1961,106.4
17,8,1961,102.2
18,8,1961,102.4
19,8,1961,89.71
20,8,1961,88.58
21,8,1961,145.2
22,8,1961,123.1
23,8,1961,114.3
24,8,1961,108.7
25,8,1961,138.4
26,8,1961,126.2
27,8,1961,121.1
28,8,1961,163.6
29,8,1961,150.3
30,8,1961,132.2
31,8,1961,110.9
1,9,1961,106.7
2,9,1961,151.1
3,9,1961,180.8
4,9,1961,141.8
5,9,1961,125.7
6,9,1961,127.9
7,9,1961,120
8,9,1961,109.5
9,9,1961,86.6
10,9,1961,83.77
11,9,1961,95.37
12,9,1961,88.86
13,9,1961,161.9
14,9,1961,172.1
15,9,1961,268.3
16,9,1961,222.2
17,9,1961,194.7
18,9,1961,176.3
19,9,1961,159.9
20,9,1961,149.4
21,9,1961,144.3
22,9,1961,135.6
23,9,1961,108.1
24,9,1961,114.3
25,9,1961,123.1
26,9,1961,166.1
27,9,1961,204.6
28,9,1961,441.5
29,9,1961,382.1
30,9,1961,500.9
1,10,1961,297.2
2,10,1961,264
3,10,1961,241.1
4,10,1961,227.5
5,10,1961,255.3
6,10,1961,288.7
7,10,1961,257.5
8,10,1961,273.4
9,10,1961,257.5
10,10,1961,258.1
11,10,1961,373.6
12,10,1961,300
13,10,1961,248.8
14,10,1961,216.8
15,10,1961,187.9
16,10,1961,180.3
17,10,1961,211.7
18,10,1961,407.5
19,10,1961,305.6
20,10,1961,302.8
21,10,1961,297.2
22,10,1961,325.5
23,10,1961,532
24,10,1961,670.7
25,10,1961,549
26,10,1961,551.9
27,10,1961,433
28,10,1961,331.1
29,10,1961,274.5
30,10,1961,279.3
31,10,1961,253
1,11,1961,243.4
2,11,1961,266.3
3,11,1961,255.8
4,11,1961,235.2
5,11,1961,221
6,11,1961,245.6
7,11,1961,362.2
8,11,1961,520.7
9,11,1961,308.5
10,11,1961,269.4
11,11,1961,234
12,11,1961,213.7
13,11,1961,211.1
14,11,1961,190.2
15,11,1961,169.5
16,11,1961,164.1
17,11,1961,162.2
18,11,1961,132.2
19,11,1961,106.7
20,11,1961,139
21,11,1961,146
22,11,1961,146.3
23,11,1961,151.1
24,11,1961,170.1
25,11,1961,148.6
26,11,1961,145.2
27,11,1961,180.6
28,11,1961,180.6
29,11,1961,204.6
30,11,1961,193.9
1,12,1961,165
2,12,1961,117.4
3,12,1961,105
4,12,1961,157.1
5,12,1961,143.5
6,12,1961,124.2
7,12,1961,138.4
8,12,1961,132.7
9,12,1961,100.7
10,12,1961,185.9
11,12,1961,557.5
12,12,1961,733
13,12,1961,724.5
14,12,1961,517.9
15,12,1961,387.7
16,12,1961,339.6
17,12,1961,280.7
18,12,1961,244.5
19,12,1961,220.5
20,12,1961,208
21,12,1961,189.3
22,12,1961,170.4
23,12,1961,130.2
24,12,1961,119.4
25,12,1961,140.7
26,12,1961,151.4
27,12,1961,148
28,12,1961,157.6
29,12,1961,126.2
30,12,1961,89.71
31,12,1961,81.79
1,1,1962,78.11
2,1,1962,76.13
3,1,1962,117.4
4,1,1962,111.5
5,1,1962,194.4
6,1,1962,178.3
7,1,1962,225.3
8,1,1962,297.2
9,1,1962,311.3
10,1,1962,246.5
11,1,1962,314.1
12,1,1962,274.5
13,1,1962,216.2
14,1,1962,189.6
15,1,1962,469.8
16,1,1962,597.1
17,1,1962,605.6
18,1,1962,441.5
19,1,1962,387.7
20,1,1962,308.5
21,1,1962,339.6
22,1,1962,314.1
23,1,1962,281.9
24,1,1962,285.8
25,1,1962,265.7
26,1,1962,314.1
27,1,1962,236.3
28,1,1962,204.6
29,1,1962,202.1
30,1,1962,311.3
31,1,1962,823.5
1,2,1962,452.8
2,2,1962,359.4
3,2,1962,339.6
4,2,1962,300
5,2,1962,288.7
6,2,1962,407.5
7,2,1962,509.4
8,2,1962,339.6
9,2,1962,314.1
10,2,1962,370.7
11,2,1962,515.1
12,2,1962,1118
13,2,1962,574.5
14,2,1962,401.9
15,2,1962,427.3
16,2,1962,483.9
17,2,1962,359.4
18,2,1962,331.1
19,2,1962,300
20,2,1962,253
21,2,1962,228.7
22,2,1962,212.3
23,2,1962,202.9
24,2,1962,174
25,2,1962,163.9
26,2,1962,167
27,2,1962,154.5
28,2,1962,153.7
1,3,1962,148.6
2,3,1962,146
3,3,1962,107.3
4,3,1962,88.58
5,3,1962,114.9
6,3,1962,107.5
7,3,1962,109
8,3,1962,118.6
9,3,1962,124.2
10,3,1962,87.17
11,3,1962,81.22
12,3,1962,99.33
13,3,1962,96.79
14,3,1962,93.67
15,3,1962,99.62
16,3,1962,103.6
17,3,1962,67.64
18,3,1962,65.94
